LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01024877,Burnley 003D E01024877,1,7,1
E01024876,Burnley 003C E01024876,1,9,1
E01024898,Burnley 002D E01024898,1,10,3
E01024878,Burnley 003E E01024878,2,8,1
E01024875,Burnley 003B E01024875,1,8,1
E01024857,Burnley 007B E01024857,1,9,2
E01024895,Burnley 003F E01024895,1,9,2
E01024897,Burnley 002C E01024897,1,9,3
E01024896,Burnley 002B E01024896,2,7,6
E01024892,Burnley 001E E01024892,2,10,4
E01024893,Burnley 002A E01024893,2,10,4
E01024856,Burnley 003A E01024856,1,10,2
E01024860,Burnley 009A E01024860,4,3,8
E01025213,Pendle 013D E01025213,2,9,4
E01024891,Burnley 001D E01024891,3,9,6
E01024862,Burnley 001C E01024862,5,10,7
E01024894,Burnley 001F E01024894,4,10,5
E01024861,Burnley 001B E01024861,2,10,7
E01025214,Pendle 013E E01025214,5,9,9
E01024859,Burnley 001A E01024859,3,10,4
E01025212,Pendle 013C E01025212,2,10,5
E01024868,Burnley 009B E01024868,3,7,6
E01024867,Burnley 008D E01024867,4,8,10
E01025209,Pendle 012C E01025209,3,7,5
E01024863,Burnley 008A E01024863,1,9,3
E01024866,Burnley 008C E01024866,2,9,3
E01024865,Burnley 008B E01024865,1,5,2
E01024869,Burnley 009C E01024869,5,3,9
E01025216,Pendle 012D E01025216,3,8,4
E01024855,Burnley 007A E01024855,1,10,1
E01024858,Burnley 007C E01024858,1,9,1
E01024864,Burnley 007D E01024864,2,10,6
E01024870,Burnley 009D E01024870,5,2,8
E01024909,Burnley 010F E01024909,1,9,2
E01024907,Burnley 010D E01024907,1,10,3
E01024906,Burnley 014B E01024906,1,9,2
E01024871,Burnley 014D E01024871,2,10,5
E01024904,Burnley 014A E01024904,1,10,4
E01024905,Burnley 014G E01024905,4,10,8
E01024910,Burnley 014C E01024910,1,10,5
E01024903,Burnley 014F E01024903,1,10,3
E01024874,Burnley 011A E01024874,4,4,9
E01024908,Burnley 010E E01024908,1,9,1
E01024872,Burnley 010A E01024872,1,9,1
E01024873,Burnley 014E E01024873,3,10,5
E01024899,Burnley 010B E01024899,1,7,3
E01024900,Burnley 010C E01024900,1,7,2
E01024888,Burnley 011C E01024888,2,6,5
E01024913,Burnley 005D E01024913,4,10,9
E01024914,Burnley 005E E01024914,3,9,9
E01024881,Burnley 006A E01024881,2,10,5
E01024882,Burnley 006B E01024882,1,10,3
E01024911,Burnley 006D E01024911,2,8,3
E01024902,Burnley 006C E01024902,1,10,4
E01024880,Burnley 005B E01024880,2,10,5
E01024879,Burnley 005A E01024879,2,10,5
E01024901,Burnley 011D E01024901,4,7,6
E01024912,Burnley 005C E01024912,5,6,9
E01024884,Burnley 004B E01024884,3,10,4
E01024887,Burnley 011B E01024887,2,7,6
E01024885,Burnley 004C E01024885,1,10,4
E01024890,Burnley 004F E01024890,2,10,2
E01024886,Burnley 004D E01024886,1,10,3
E01025340,Ribble Valley 005B E01025340,9,9,8
E01024889,Burnley 004E E01024889,1,10,4
E01025341,Ribble Valley 005C E01025341,9,9,10
E01025343,Ribble Valley 005D E01025343,8,10,7
E01024883,Burnley 004A E01024883,1,9,2
E01025204,Pendle 008E E01025204,6,3,9
E01025211,Pendle 008F E01025211,6,10,8
E01025174,Pendle 008A E01025174,4,7,7
E01025079,Hyndburn 009C E01025079,3,9,7
E01025080,Hyndburn 009D E01025080,5,7,6
E01025054,Hyndburn 009A E01025054,2,9,4
E01025378,Rossendale 007B E01025378,6,5,6
E01025074,Hyndburn 003E E01025074,4,10,10
E01025064,Hyndburn 001E E01025064,6,10,10
E01025353,Ribble Valley 008G E01025353,7,4,9
E01025072,Hyndburn 003C E01025072,1,10,3
E01025073,Hyndburn 003D E01025073,2,10,6
E01025070,Hyndburn 003A E01025070,1,10,3
E01025071,Hyndburn 003B E01025071,2,10,4
E01025196,Pendle 002B E01025196,2,10,4
E01025195,Pendle 002A E01025195,5,10,8
E01025191,Pendle 001A E01025191,7,10,6
E01025198,Pendle 002D E01025198,5,10,5
E01025199,Pendle 003A E01025199,6,7,8
E01025192,Pendle 001B E01025192,3,10,4
E01025194,Pendle 001D E01025194,3,10,4
E01025197,Pendle 002C E01025197,5,8,9
E01025193,Pendle 001C E01025193,3,6,4
E01025201,Pendle 003C E01025201,3,10,5
E01025200,Pendle 003B E01025200,4,10,5
E01027586,Craven 007D E01027586,9,6,9
E01025202,Pendle 003D E01025202,4,7,8
E01025203,Pendle 006D E01025203,6,3,8
E01025324,Ribble Valley 008B E01025324,7,4,8
E01025323,Ribble Valley 008A E01025323,9,2,8
E01025337,Ribble Valley 008E E01025337,8,10,9
E01025352,Ribble Valley 008F E01025352,10,2,10
E01024921,Chorley 002A E01024921,7,2,8
E01025336,Ribble Valley 008D E01025336,8,4,9
E01025456,South Ribble 002C E01025456,7,1,9
E01025373,Rossendale 004C E01025373,8,8,7
E01025377,Rossendale 007A E01025377,9,7,9
E01025397,Rossendale 002F E01025397,2,9,2
E01025379,Rossendale 007C E01025379,2,9,3
E01025363,Rossendale 002A E01025363,3,5,6
E01025364,Rossendale 002B E01025364,6,9,10
E01025365,Rossendale 008C E01025365,7,5,7
E01025380,Rossendale 007D E01025380,6,10,9
E01025396,Rossendale 002E E01025396,1,9,2
E01025395,Rossendale 002D E01025395,4,6,5
E01025398,Rossendale 002G E01025398,2,10,3
E01025366,Rossendale 002C E01025366,2,10,2
E01033281,Rossendale 004G E01033281,5,6,4
E01025385,Rossendale 004D E01025385,1,5,2
E01025384,Rossendale 008D E01025384,5,4,7
E01025358,Rossendale 008B E01025358,8,2,8
E01025387,Rossendale 004F E01025387,5,7,6
E01025392,Rossendale 010D E01025392,2,9,5
E01025371,Rossendale 010A E01025371,3,7,3
E01025394,Rossendale 010E E01025394,3,6,3
E01025374,Rossendale 010B E01025374,2,7,3
E01025356,Rossendale 004A E01025356,3,10,4
E01025361,Rossendale 001B E01025361,3,10,5
E01025355,Rossendale 001A E01025355,9,7,10
E01025362,Rossendale 001C E01025362,6,3,7
E01025391,Rossendale 010C E01025391,3,7,4
E01025393,Rossendale 001D E01025393,4,4,5
E01025041,Hyndburn 006A E01025041,1,10,1
