LA_Code,LA_Name,Car or van availability (5 categories) Code,Car or van availability (5 categories),Total_NoVehicle,Total_Households,%_with__No_car
E06000008,Blackburn with Darwen,0,No cars or vans in household,15814,58767,0.269096602
E06000009,Blackpool,0,No cars or vans in household,22019,64789,0.339857075
E07000117,Burnley,0,No cars or vans in household,11667,39872,0.292611356
E07000118,Chorley,0,No cars or vans in household,7342,50134,0.146447521
E07000119,Fylde,0,No cars or vans in household,6313,37606,0.167872148
E07000120,Hyndburn,0,No cars or vans in household,8818,34792,0.253449069
E07000121,Lancaster,0,No cars or vans in household,13632,59980,0.227275759
E07000122,Pendle,0,No cars or vans in household,8858,38071,0.232670537
E07000124,Ribble Valley,0,No cars or vans in household,3056,26747,0.114255804
E07000125,Rossendale,0,No cars or vans in household,5605,30562,0.183397683
E07000126,South Ribble,0,No cars or vans in household,6965,48586,0.143354053
E07000127,West Lancashire,0,No cars or vans in household,8728,48533,0.1798364
E07000128,Wyre,0,No cars or vans in household,9345,50764,0.184087148
