stop_id,stop_name,stop_lat,stop_lon,LSOA11CD,LSOA11NM,LADNM,join_method,nearest_dist_m
090033104077,Ness Way,54.8846026352862,-2.9681880886133096,,,,,
2500DCL792,New Line,53.690549138,-2.182164321,E01025383,Rossendale 003F,Rossendale,within,
2800S44079B,Eaton Road,53.42999,-2.90919,,,,,
2500IMG2876,Rosehill Road,53.782133294,-2.253630925,E01024910,Burnley 014C,Burnley,within,
1800WK36631,Ashby Grove,53.51144,-2.541849,,,,,
2800S23005B,Magazine Lane,53.43287,-3.04048,,,,,
2800S13001B,Traverse Street,53.45309,-2.72195,,,,,
1800WA13031,Birtenshaw School,53.61218,-2.41428,,,,,
2580BLA0089,Infirmary Road,53.736803743,-2.48928993,E01012595,Blackburn with Darwen 009A,Blackburn with Darwen,within,
1800WA11641,Savick Avenue,53.581,-2.385702,,,,,
1800SG40371,Tithe Barn School,53.42083,-2.196446,,,,,
090010024306,Friars Lane,54.11960557423051,-3.200296724842751,,,,,
1800NB23701,Chataway Road,53.51148,-2.224054,,,,,
2800S40030C,Tynemouth Close,53.42306,-2.96129,,,,,
1800SB02131,Mosley Street,53.48056,-2.239983,,,,,
1800NE33101,Lawflat,53.64476,-2.134665,,,,,
5140WDB22519,Butchers` Arms,53.10915494,-2.945641918,,,,,
2590B1042,Norbreck North,53.861441882,-3.048667132,E01012716,Blackpool 001D,Blackpool,within,
2500B0103,Aspire Academy,53.838943155,-3.017466902,E01025599,Wyre 014D,Wyre,within,
2800S16047B,chalon Way West,53.4513,-2.73828,,,,,
1800SJ49391,Barrington Road,53.39316,-2.348467,,,,,
0610CH2133,Shops,53.2191625,-2.8778972,,,,,
2500LAA07435,Linton Drive,53.774613751,-2.260413568,E01024873,Burnley 014E,Burnley,within,
1800WK22661,Standish Post Office,53.5869,-2.663403,,,,,
1800NC05611,Sykes Avenue,53.56668,-2.274806,,,,,
1800EB11681,Boggart Hole Clough,53.52353,-2.204101,,,,,
2500LAA16700,Tollgate Crescent,53.59243048,-2.862879875,E01025487,West Lancashire 004E,West Lancashire,within,
2500DCL3399,Broadfields,53.664774651,-2.641081938,E01024920,Chorley 008B,Chorley,within,
1800NE25161,Station Road,53.60939,-2.10898,,,,,
2500IMG962,War Memorial,53.599484594,-2.843621141,E01025483,West Lancashire 004A,West Lancashire,within,
090002382254,Craiglea,54.8983453971101,-3.079903442885876,,,,,
9400ZZMABOB1,Besses o'th'barn (Manchester Metrolink),53.54199442604,-2.28612939851,,,,,
090050061336,Kell Head Cottage,54.468478656954346,-3.5514699443583377,,,,,
2800S43198A,Penny Lane,53.384,-2.92439,,,,,
090010032042,Rydal Close,54.15128606086383,-3.181461106537994,,,,,
2800S31016A,St Johns Church,53.37419,-3.13329,,,,,
