agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_noc
OP10,"M & H Coaches","https://www.traveline.info",Europe/London,EN,"","MHCO"
OP1092,"Mersey Ferries","https://www.traveline.info",Europe/London,EN,"","FRRY"
OP10924,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNSM"
OP11023,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNDB"
OP11056,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNVB"
OP11122,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNGN"
OP12376,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNFM"
OP132,"High Peak","https://www.traveline.info",Europe/London,EN,"","HIPK"
OP13829,"Bee Network","https://www.traveline.info",Europe/London,EN,"","BNML"
OP1389,"Belle Vue Coaches","https://www.traveline.info",Europe/London,EN,"","BEVC"
OP14131,"A and J Taxis","https://www.traveline.info",Europe/London,EN,"","AJTX"
OP14137,"Iain McGregor","https://www.traveline.info",Europe/London,EN,"","IMAC"
OP14144,"Mountain Goat Holidays and Tours","https://www.traveline.info",Europe/London,EN,"","MTGT"
OP156,"Stotts Tours","https://www.traveline.info",Europe/London,EN,"","STOT"
OP1585,"Bullocks Coaches","https://www.traveline.info",Europe/London,EN,"","BULL"
OP212,"Borders Buses","https://www.traveline.info",Europe/London,EN,"","BORD"
OP213,"Go North East","https://www.traveline.info",Europe/London,EN,"","GNEL"
OP220,"Stagecoach North East","https://www.traveline.info",Europe/London,EN,"","SCNE"
OP222,"Telford's Coaches","https://www.traveline.info",Europe/London,EN,"","TELF"
OP225,"Wright Brothers Coaches","https://www.traveline.info",Europe/London,EN,"","WGTB"
OP2350,"First Halifax","https://www.traveline.info",Europe/London,EN,"","FHAL"
OP249,"Cumbria Classic Coaches","https://www.traveline.info",Europe/London,EN,"","CUCC"
OP251,"Arriva North West","https://www.traveline.info",Europe/London,EN,"","ANWE"
OP252,"Aimee's","https://www.traveline.info",Europe/London,EN,"","TXCO"
OP254,"Mikro Coaches","https://www.traveline.info",Europe/London,EN,"","MIKO"
OP255,"Warrington's Own Buses","https://www.traveline.info",Europe/London,EN,"","WBTR"
OP256,"A2B Travel","https://www.traveline.info",Europe/London,EN,"","A2BV"
OP257,"Aintree Coachlines","https://www.traveline.info",Europe/London,EN,"","AINT"
OP258,"Arriva North West","https://www.traveline.info",Europe/London,EN,"","AMSY"
OP260,"Stagecoach Merseyside and South Lancashire","https://www.traveline.info",Europe/London,EN,"","SCMY"
OP261,"Blueworks Private Hire","https://www.traveline.info",Europe/London,EN,"","BPHI"
OP263,"Ellenvale Coaches","https://www.traveline.info",Europe/London,EN,"","ELNV"
OP266,"Irving of Dalston","https://www.traveline.info",Europe/London,EN,"","IRVD"
OP268,"Kirkby Lonsdale Coaches","https://www.traveline.info",Europe/London,EN,"","KLCO"
OP269,"Lakeland Coaches","https://www.traveline.info",Europe/London,EN,"","LCAC"
OP271,"NBM Hire Ltd","https://www.traveline.info",Europe/London,EN,"","NBMH"
OP272,"Reays Coaches","https://www.traveline.info",Europe/London,EN,"","REAY"
OP275,"Western Dales Community Bus","https://www.traveline.info",Europe/London,EN,"","WDCB"
OP278,"The Burnley Bus Company","https://www.traveline.info",Europe/London,EN,"","BPTR"
OP279,"Cumfybus","https://www.traveline.info",Europe/London,EN,"","CUBU"
OP286,"Hattons Travel","https://www.traveline.info",Europe/London,EN,"","HATT"
OP287,"Huyton Travel","https://www.traveline.info",Europe/London,EN,"","HUYT"
OP288,"Metrolink","https://www.traveline.info",Europe/London,EN,"0161 205 2000","METL"
OP289,"Olympia Travel","https://www.traveline.info",Europe/London,EN,"","OLYM"
OP291,"Rosso","https://www.traveline.info",Europe/London,EN,"","ROST"
OP292,"Tyrers Coaches","https://www.traveline.info",Europe/London,EN,"","RSTY"
OP294,"Vision Bus","https://www.traveline.info",Europe/London,EN,"","VISB"
OP298,"Archway Travel","https://www.traveline.info",Europe/London,EN,"","ARCT"
OP302,"Blackpool Transport","https://www.traveline.info",Europe/London,EN,"","BLAC"
OP304,"Blackburn Private Hire","https://www.traveline.info",Europe/London,EN,"","BLPH"
OP307,"Charlton Mini's","https://www.traveline.info",Europe/London,EN,"","CHAR"
OP31,"D & G Bus","https://www.traveline.info",Europe/London,EN,"","DAGC"
OP317,"Holmeswood Coaches Ltd","https://www.traveline.info",Europe/London,EN,"","HWCO"
OP321,"The Blackburn Bus Company","https://www.traveline.info",Europe/London,EN,"","LNUD"
OP323,"Moving People","https://www.traveline.info",Europe/London,EN,"","MOVP"
OP325,"Coastliner Buses","https://www.traveline.info",Europe/London,EN,"","NUTT"
OP326,"Pilkingtonbus","https://www.traveline.info",Europe/London,EN,"","NWBT"
OP328,"Preston Bus","https://www.traveline.info",Europe/London,EN,"","PBLT"
OP329,"Peoples Bus","https://www.traveline.info",Europe/London,EN,"","PPBU"
OP339,"Al's Coaches","https://www.traveline.info",Europe/London,EN,"","ALSC"
OP341,"Maghull Coaches","https://www.traveline.info",Europe/London,EN,"","MAGH"
OP346,"Ashcroft Travel","https://www.traveline.info",Europe/London,EN,"","ASHT"
OP348,"Howards Travel","https://www.traveline.info",Europe/London,EN,"","HOWT"
OP349,"Liverpool City Sights","https://www.traveline.info",Europe/London,EN,"","LCIS"
OP4522,"Team Pennine","https://www.traveline.info",Europe/London,EN,"","TPEN"
OP5050,"National Express","https://www.traveline.info",Europe/London,EN,"","NATX"
OP5051,"FlixBus","https://www.traveline.info",Europe/London,EN,"","FLIX"
OP539,"Stagecoach Cumbria and North Lancashire","https://www.traveline.info",Europe/London,EN,"","SCCU"
OP541,"McCall's Coaches","https://www.traveline.info",Europe/London,EN,"","MCCL"
OP564,"Megabus","https://www.traveline.info",Europe/London,EN,"","MEGA"
OP6,"Arriva Wales","https://www.traveline.info",Europe/London,EN,"","ACYM"
OP6535,"Cavern City Tours","https://www.traveline.info",Europe/London,EN,"","CAVE"
OP7690,"Link Network","https://www.traveline.info",Europe/London,EN,"","MDBC"
OP8026,"SightSeeing Manchester","https://www.traveline.info",Europe/London,EN,"","MBTO"
OP853,"First Potteries","https://www.traveline.info",Europe/London,EN,"","FPOT"
