service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,0,20251107,20260807
3,1,1,1,1,1,0,0,20251107,20260807
4,0,0,0,0,0,1,0,20251107,20260807
10,1,1,1,1,1,0,0,20251107,20260807
11,0,0,0,0,0,1,0,20251107,20260807
20,0,0,0,0,0,0,1,20251107,20260807
60,1,1,1,1,1,0,0,20251107,20260807
76,0,0,0,1,0,0,0,20251107,20260807
92,1,1,1,1,1,1,0,20251107,20260807
102,1,1,1,1,1,0,0,20251107,20260807
118,0,0,0,0,0,0,1,20251107,20260807
140,0,0,0,0,0,1,0,20251107,20260807
187,0,0,0,0,0,1,0,20251107,20260807
188,0,0,0,0,0,0,1,20251107,20260807
189,0,1,1,0,0,0,0,20251107,20260807
218,1,1,1,1,1,1,0,20251107,20260807
225,1,1,1,1,1,0,0,20251107,20260807
241,0,0,0,0,0,0,1,20251107,20260807
267,0,0,0,0,0,1,0,20251107,20260807
268,0,0,0,0,0,0,1,20251107,20260807
490,0,1,0,1,1,1,1,20251107,20251231
491,1,0,1,0,0,1,0,20251107,20251231
492,0,0,1,1,1,1,1,20251107,20251231
493,1,1,1,1,1,1,1,20251107,20251231
494,1,0,0,1,1,1,1,20251107,20251231
495,1,1,1,1,1,1,1,20251107,20251231
496,0,0,0,0,0,1,0,20251107,20251231
497,1,1,1,1,1,1,1,20251107,20251231
505,1,1,1,1,1,1,0,20251224,20251225
506,1,1,1,1,1,1,0,20251227,20251230
507,0,0,0,0,0,0,1,20251227,20251230
508,0,0,0,0,0,0,1,20251222,20251223
509,1,1,1,1,1,1,0,20251222,20251223
515,0,0,0,0,0,0,1,20251107,20260807
519,1,1,1,1,1,1,0,20251231,20260101
520,1,1,1,1,1,1,0,20260101,20260102
521,0,0,0,0,0,0,1,20260101,20260102
534,0,0,0,0,0,0,1,20251107,20251221
535,0,0,0,0,0,1,0,20251107,20251221
536,1,1,1,1,1,0,0,20251107,20251221
550,1,1,1,1,1,0,0,20251107,20251221
560,1,1,1,1,1,0,0,20260103,20261003
561,0,0,0,0,0,1,0,20260103,20261003
562,1,1,1,1,1,0,0,20260103,20261003
