route_id,agency_id,route_short_name,route_long_name,route_type
8,OP6,"4","",3
30,OP6,"4S","",3
46,OP6,"14","",3
77,OP6,"10","",3
92,OP6,"11","",3
753,OP13829,"220","",3
754,OP13829,"221","",3
950,OP326,"643","",3
1511,OP31,"316","",3
1512,OP31,"317","",3
1538,OP222,"127A","",3
1552,OP11023,"288","",3
1572,OP11122,"576","",3
1609,OP13829,"256","",3
1611,OP10924,"314","",3
1614,OP10924,"325","",3
1617,OP10924,"330","",3
1620,OP156,"344","",3
1622,OP13829,"346","",3
1624,OP13829,"368","",3
1625,OP10924,"374","",3
1627,OP10924,"378","",3
1629,OP10924,"379","",3
1630,OP10924,"383","",3
1631,OP10924,"384","",3
1637,OP10924,"X92","",3
1668,OP258,"385","",3
1676,OP325,"568","",3
1677,OP268,"581","",3
1689,OP304,"12C","",3
1695,OP278,"X43","",3
1696,OP325,"594","",3
1749,OP326,"531","",3
1750,OP326,"547","",3
1758,OP328,"663","",3
1778,OP260,"EL1","",3
1898,OP260,"217A","",3
1910,OP255,"17C","",3
3504,OP31,"37","",3
3565,OP321,"4","",3
3571,OP255,"4","",3
3676,OP255,"21","",3
3719,OP257,"40","",3
3804,OP302,"1","",3
3806,OP321,"1","",3
3813,OP255,"1","",3
3942,OP13829,"42A","",3
3980,OP328,"16","",3
3982,OP255,"16","",3
4135,OP255,"2","",3
4226,OP321,"22","",3
4227,OP255,"22","",3
4406,OP13829,"43","",3
4449,OP132,"14","",3
4450,OP302,"14","",3
4456,OP255,"14","",3
4688,OP260,"61","",3
4761,OP255,"19","",3
4818,OP304,"10","",3
4881,OP255,"22A","",3
4909,OP328,"962","",3
4963,OP10924,"11","",3
4964,OP302,"11","",3
5073,OP31,"8","",3
5080,OP328,"8","",3
5081,OP291,"8","",3
5166,OP302,"3","",3
5167,OP304,"3","",3
5250,OP13829,"42","",3
5300,OP328,"31","",3
5346,OP325,"24","",3
5404,OP13829,"230","",3
5425,OP328,"35","",3
5541,OP321,"152","",3
5552,OP13829,"101","",3
5602,OP10924,"84","",3
5715,OP31,"41","",3
5740,OP326,"907","",3
5755,OP286,"28","",3
5798,OP328,"961","",3
5884,OP328,"401","",3
5921,OP304,"12A","",3
5944,OP255,"13","",3
6005,OP10924,"23","",3
6007,OP328,"23","",3
6054,OP10924,"25","",3
6058,OP255,"25","",3
6332,OP307,"5","",3
6468,OP260,"7","",3
6474,OP321,"7","",3
6547,OP13829,"85","",3
6563,OP6,"X4","",3
6598,OP326,"888","",3
6622,OP317,"112","",3
6651,OP260,"1A","",3
6708,OP302,"6","",3
6710,OP321,"6","",3
6711,OP328,"6","",3
6712,OP307,"6","",3
6808,OP256,"73","",3
6871,OP298,"74","",3
6938,OP6,"15A","",3
6965,OP255,"15","",3
6997,OP255,"17A","",3
7083,OP255,"49","",3
7197,OP321,"7A","",3
7317,OP255,"32","",3
7363,OP286,"28A","",3
7364,OP255,"28A","",3
7487,OP287,"17","",3
7490,OP255,"17","",3
7532,OP321,"X41","",3
7543,OP13829,"38","",3
7666,OP13829,"201","",3
7680,OP13829,"203","",3
7913,OP321,"6A","",3
7939,OP256,"80","",3
7957,OP255,"98","",3
8036,OP31,"82","",3
8037,OP260,"82","",3
8038,OP256,"82","",3
8107,OP13829,"231","",3
8113,OP13829,"85A","",3
8122,OP255,"96","",3
8193,OP258,"500","",3
8263,OP294,"113","",3
8373,OP339,"600","",3
8383,OP298,"75","",3
8479,OP539,"530","",3
8480,OP326,"530","",3
8544,OP31,"89","",3
8714,OP539,"67","",3
8740,OP346,"70","",3
8810,OP539,"935","",3
8888,OP260,"X30","",3
8898,OP326,"637","",3
8970,OP10924,"191","",3
8995,OP260,"125","",3
9020,OP256,"129","",3
9029,OP13829,"150","",3
9120,OP13829,"313","",3
9130,OP13829,"111","",3
9219,OP287,"153","",3
9420,OP31,"319","",3
9426,OP10924,"322","",3
9446,OP257,"358","",3
9455,OP258,"360","",3
9531,OP325,"524","",3
9551,OP11023,"634","",3
9556,OP326,"892","",3
9644,OP256,"106","",3
9709,OP11023,"544","",3
9730,OP269,"597","",3
9742,OP222,"680","",3
9937,OP10924,"197","",3
9947,OP11023,"356","",3
10010,OP13829,"281","",3
10040,OP260,"PR1","",3
10108,OP326,"882","",3
10136,OP539,"941","",3
10172,OP326,"929","",3
10196,OP10924,"327","",3
10235,OP11056,"960","",3
10239,OP268,"552","",3
10332,OP260,"PR2","",3
10348,OP11122,"V1","",3
10352,OP11122,"V2","",3
10458,OP13829,"382","",3
10477,OP13829,"263","",3
10705,OP258,"375","",3
10732,OP258,"352","",3
10739,OP257,"357","",3
10751,OP260,"771","",3
10771,OP326,"879","",3
10855,OP328,"963","",3
10859,OP328,"959","",3
11064,OP279,"618","",3
11126,OP279,"722","",3
11706,OP6,"1","",3
11744,OP258,"34","",3
11780,OP255,"755","",3
11815,OP255,"741","",3
12280,OP132,"60","",3
12573,OP132,"58","",3
12638,OP256,"91","",3
12683,OP11122,"339","",3
13366,OP156,"343","",3
13674,OP11122,"775","",3
13678,OP10924,"887","",3
13702,OP11122,"790","",3
13704,OP13829,"797","",3
13708,OP13829,"827","",3
13717,OP328,"437","",3
13718,OP260,"125C","",3
13720,OP260,"61C","",3
13902,OP13829,"877","",3
