stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
090033104077,cumdpjmt,"Ness Way",54.8846026352862,-2.9681880886133096,0,0,,
2500DCL792,landmwdg,"New Line",53.690549138,-2.182164321,0,0,,
2800S44079B,merdmpjg,"Eaton Road",53.42999,-2.90919,0,0,,
2500IMG2876,langjdpa,"Rosehill Road",53.782133294,-2.253630925,0,0,,
1800WK36631,MANTDAMJ,"Ashby Grove",53.51144,-2.541849,0,0,,
2800S23005B,meramwtd,"Magazine Lane",53.43287,-3.04048,0,0,,
2800S13001B,meradpta,"Traverse Street",53.45309,-2.72195,0,0,,
1800WA13031,MANPAGMA,"Birtenshaw School",53.61218,-2.41428,0,0,,
2580BLA0089,bladmwg,"Infirmary Road",53.736803743,-2.48928993,0,0,,
1800WA11641,MANJWTJT,"Savick Avenue",53.581,-2.385702,0,0,,
1800SG40371,MANJMAMA,"Tithe Barn School",53.42083,-2.196446,0,0,,
090010024306,cumdtdap,"Friars Lane",54.11960557423051,-3.200296724842751,0,0,,
1800NB23701,MANDJTJG,"Chataway Road",53.51148,-2.224054,0,0,,
2800S40030C,merawtmp,"Tynemouth Close",53.42306,-2.96129,0,0,,
1800SB02131,MANGPGPD,"Mosley Street",53.48056,-2.239983,0,0,,
1800NE33101,MANGDJMG,"Lawflat",53.64476,-2.134665,0,0,,
5140WDB22519,wrejmtd,"Butchers` Arms",53.10915494,-2.945641918,0,0,,
2590B1042,blpajgwd,"Norbreck North",53.861441882,-3.048667132,0,0,,
2500B0103,lanjawdw,"Aspire Academy",53.838943155,-3.017466902,0,0,,
2800S16047B,,"chalon Way West",53.4513,-2.73828,0,0,,
1800SJ49391,MANJWATJ,"Barrington Road",53.39316,-2.348467,0,0,,
0610CH2133,CHWDGMD,"Shops",53.2191625,-2.8778972,0,0,,
2500LAA07435,lanjpdpj,"Linton Drive",53.774613751,-2.260413568,0,0,,
1800WK22661,MANPWMJA,"Standish Post Office",53.5869,-2.663403,0,0,,
1800NC05611,MANDMPMT,"Sykes Avenue",53.56668,-2.274806,0,0,,
1800EB11681,MANAGATM,"Boggart Hole Clough",53.52353,-2.204101,0,0,,
2500LAA16700,lanpapwm,"Tollgate Crescent",53.59243048,-2.862879875,0,0,,
2500DCL3399,landjgpm,"Broadfields",53.664774651,-2.641081938,0,0,,
1800NE25161,MANGAMWM,"Station Road",53.60939,-2.10898,0,0,,
2500IMG962,langmjmp,"War Memorial",53.599484594,-2.843621141,0,0,,
090002382254,cumagapm,"Craiglea",54.8983453971101,-3.079903442885876,0,0,,
9400ZZMABOB1,mantpjwd,"Besses o'th'barn (Manchester Metrolink)",53.54199442604,-2.28612939851,0,0,940GZZMABOB,
090050061336,cumatpgm,"Kell Head Cottage",54.468478656954346,-3.5514699443583377,0,0,,
2800S43198A,merdmdam,"Penny Lane",53.384,-2.92439,0,0,,
090010032042,cumamgmt,"Rydal Close",54.15128606086383,-3.181461106537994,0,0,,
2800S31016A,merawjwt,"St Johns Church",53.37419,-3.13329,0,0,,
2800S26026B,meratawt,"The Meadow",53.37517,-3.08678,0,0,,
1800EB35141,MANAJMAD,"Culcheth Lane",53.49514,-2.17537,0,0,,
1800ED17491,MANTWGMJ,"St Mary's Way",53.54229,-2.109048,0,0,,
090033101563,cumamptw,"Bus Station (Ca)",54.89432078330529,-2.9321230774121148,0,0,,4
5120AWD71403,fliagtw,"Tivoli",53.167743629,-3.076295966,0,0,,
1800WK38981,MANTDMTP,"Prescott Avenue",53.4824,-2.607451,0,0,,
1800EH03501,MANAWDGW,"Shelley Rise",53.47186,-2.053987,0,0,,
2800S53023A,mergpgjp,"Harvester Way",53.49034,-2.95715,0,0,,
1800EB34011,MANAJDGA,"Victoria Street",53.47309,-2.175656,0,0,,
250015387,lanapjtm,"Hebrew Road",53.796955833,-2.239890142,0,0,,
1800WK04641,MANPTGJD,"Expanse Learning Lee Young",53.537834,-2.693256,0,0,,
1800NC23381,MANDTAWJ,"Aldford Grove",53.57309,-2.365394,0,0,,
250014525,lanamtpw,"Hillam Lane",53.971997361,-2.81981574,0,0,,
2500IMG1352,landpwmd,"The Glades",53.770417469,-2.660214868,0,0,,
2500LAA07194,langwtdg,"Magistrates Court",53.699732302,-2.292333759,0,0,,
1800SB04891,MANGPJMJ,"Great Bridgewater Street",53.475634,-2.242171,0,0,,
0600CO125,CHEAPMW,"Stores",53.091126,-2.283635,0,0,,
068000000300,haladpmp,"Pit Lane",53.38361,-2.73528,0,0,,
2580DAY0003,bladwag,"Buttermere Close",53.752956432,-2.471096896,0,0,,
