LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile,LA_Name,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc,LA_Code,Total_Above 65,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation_x,Total_Disablities,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation_y
E01012571,,,,,Blackburn with Darwen,456.824722290039,5.86892771426941,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012572,,,,,Blackburn with Darwen,521.799758911133,7.45593867258169,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012573,,,,,Blackburn with Darwen,483.814346313477,4.05392568698176,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012574,,,,,Blackburn with Darwen,562.784027099609,6.52026637309023,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012575,,,,,Blackburn with Darwen,545.790580749512,3.93131871226073,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012576,,,,,Blackburn with Darwen,568.78173828125,3.450948987596,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012577,,,,,Blackburn with Darwen,515.802070617676,5.80792643337809,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012578,,,,,Blackburn with Darwen,527.797458648682,4.52954540897217,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012579,,,,,Blackburn with Darwen,541.792098999023,6.90335790336434,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012580,,,,,Blackburn with Darwen,536.793991088867,3.87318424533807,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012581,,,,,Blackburn with Darwen,494.810127258301,21.686647045414,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012582,,,,,Blackburn with Darwen,524.798614501953,15.6198093556747,23.8095249171624,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012583,,,,,Blackburn with Darwen,642.75333404541,15.3992531385519,39.3468132650238,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012584,,,,,Blackburn with Darwen,520.800148010254,11.8719194023126,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012585,,,,,Blackburn with Darwen,465.821250915527,5.85718872846251,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
